Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143.0,167.62,5.0,0,28.0,10,Mercedes-Benz,New
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995.0,190.0,5.0,47.87 Lakh,18.55,10,BMW,3
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248.0,88.5,5.0,0,8.25,9,Maruti,S
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984.0,177.01,5.0,0,23.5,9,Audi,A6
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5 kmpl,1197.0,80.0,5.0,0,1.87,14,Hyundai,i20
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598.0,103.6,5.0,0,2.85,14,Volkswagen,Vento
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8 kmpl,1497.0,116.3,5.0,0,4.25,12,Honda,City
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08 kmpl,1461.0,63.1,5.0,0,4.25,12,Nissan,Micra
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,998.0,67.1,5.0,0,2.75,11,Maruti,Alto
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5 kmpl,1199.0,88.7,5.0,10.57 Lakh,9.9,6,Honda,WRV
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494.0,102.0,7.0,0,4.0,17,Toyota,Innova
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01 kmpl,1461.0,108.45,5.0,0,7.75,11,Renault,Duster
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53 kmpl,1798.0,138.1,5.0,0,6.75,12,Toyota,Corolla
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696.0,184.0,7.0,0,12.5,11,Mahindra,Ssangyong
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698.0,179.5,5.0,0,11.5,14,Audi,A6
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598.0,103.5,5.0,12.33 Lakh,6.98,10,Volkswagen,Vento
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061.0,64.0,5.0,0,1.85,15,Maruti,Wagon
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3 kmpl,1248.0,88.5,5.0,11.12 Lakh,8.63,6,Maruti,Vitara
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15 kmpl,1198.0,82.0,5.0,0,4.85,7,Mahindra,KUV
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987.0,254.8,5.0,0,28.0,11,Mercedes-Benz,M-Class
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,0,5.0,11,Volkswagen,Polo
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796.0,46.3,5.0,0,1.25,16,Maruti,Alto
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4 kmpl,624.0,37.5,4.0,0,1.53,10,Tata,Nano
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32 kmpl,1198.0,77.0,6.0,0,5.58,7,Mahindra,KUV
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5 kmpl,1197.0,82.9,5.0,0,4.74,10,Hyundai,i20
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999.0,149.92,5.0,23.64 Lakh,8.85,10,Hyundai,Elantra
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798.0,138.03,5.0,0,10.11,8,Toyota,Corolla
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991.0,112.2,5.0,0,4.25,16,Hyundai,Elantra
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25 kmpl,2694.0,163.7,7.0,18.64 Lakh,10.95,12,Toyota,Innova
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4 kmpl,1120.0,71.0,5.0,0,3.85,10,Hyundai,Xcent
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498.0,105.0,6.0,0,5.5,12,Mahindra,Thar
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968.0,174.33,5.0,0,21.43,9,Audi,A4
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9 kmpl,1248.0,74.0,5.0,0,4.25,10,Maruti,Swift
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8 kmpl,1248.0,75.0,5.0,0,3.3,10,Maruti,Swift
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4 kmpl,1248.0,74.0,5.0,0,3.85,11,Maruti,Swift
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197.0,82.0,5.0,0,3.6,9,Hyundai,Grand
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04 kmpl,1598.0,103.2,5.0,0,3.99,9,Volkswagen,Vento
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17 kmpl,799.0,53.3,5.0,0,3.3,7,Renault,KWID
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36 kmpl,1197.0,78.9,5.0,0,2.07,14,Hyundai,i10
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995.0,147.6,5.0,0,7.75,14,Nissan,X-Trail
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2 kmpl,998.0,67.1,5.0,0,2.25,14,Maruti,Zen
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68 kmpl,2393.0,147.8,8.0,19.34 Lakh,16.5,7,Toyota,Innova
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0 kmpl,1399.0,68.0,5.0,0,2.75,14,Ford,Figo
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796.0,186.0,5.0,0,26.7,9,Mercedes-Benz,New
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148.0,170.0,5.0,0,10.0,13,Mercedes-Benz,New
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,1396.0,69.0,5.0,0,2.5,8,Tata,Indica
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968.0,140.0,5.0,0,13.5,12,Audi,A4
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497.0,78.0,5.0,0,1.85,17,Honda,City
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950.0,194.0,5.0,49.14 Lakh,35.67,5,Mercedes-Benz,C-Class
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52 kmpl,1248.0,88.5,7.0,0,8.15,8,Maruti,Ertiga
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1 kmpl,1396.0,88.7,5.0,11.81 Lakh,10.5,6,Hyundai,Creta
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806.0,500.0,5.0,0,14.5,16,Porsche,Cayenne
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1 kmpl,2179.0,140.0,7.0,0,9.65,9,Mahindra,XUV500
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197.0,78.9,5.0,0,3.48,12,Hyundai,i10
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64 kmpl,1461.0,108.5,5.0,16.65 Lakh,6.92,9,Nissan,Terrano
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198.0,86.8,5.0,0,6.46,8,Honda,Brio
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968.0,187.74,5.0,0,29.5,10,Audi,A6
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8 kmpl,1399.0,0.0,5.0,0,2.0,16,Ford,Fiesta
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998.0,132.0,8.0,0,4.5,18,Toyota,Innova
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8 kmpl,2494.0,102.0,7.0,0,11.75,12,Toyota,Innova
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0 kmpl,1086.0,0.0,5.0,0,1.3,19,Hyundai,Santro
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9 kmpl,1248.0,74.0,5.0,0,3.75,12,Maruti,Swift
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,1193.0,88.7,5.0,6.67 Lakh,4.5,7,Tata,Zest
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0 kmpl,1198.0,86.7,5.0,0,4.82,8,Honda,Amaze
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0 kmpl,1399.0,68.0,5.0,0,2.8,12,Ford,Figo
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2 kmpl,1248.0,73.94,5.0,0,3.11,11,Maruti,Ritz
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8 kmpl,1497.0,117.3,5.0,0,3.25,15,Honda,City
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995.0,218.0,5.0,0,13.9,13,BMW,5
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36 kmpl,1197.0,78.9,5.0,0,2.25,15,Hyundai,i10
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9 kmpl,1197.0,82.0,5.0,0,5.75,8,Hyundai,Grand
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0 kmpl,1086.0,0.0,5.0,0,2.1,17,Hyundai,Santro
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8 kmpl,1198.0,86.7,5.0,0,5.0,8,Honda,Amaze
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0 kmpl,2982.0,168.5,7.0,0,16.5,10,Toyota,Fortuner
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968.0,174.33,5.0,0,39.58,6,Audi,A6
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7 kmpl,1498.0,89.84,5.0,0,5.5,11,Ford,Ecosport
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1 kmpl,2179.0,140.0,7.0,0,8.1,10,Mahindra,XUV500
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8 kmpl,1498.0,98.6,5.0,0,3.5,9,Honda,Amaze
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,0,2.79,11,Volkswagen,Polo
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2 kmpl,1493.0,110.0,5.0,0,3.45,14,Hyundai,Verna
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9 kmpl,998.0,67.1,5.0,0,4.45,8,Maruti,Wagon
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26 kmpl,1598.0,103.5,5.0,0,2.65,14,Volkswagen,Polo
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396.0,90.0,5.0,0,3.8,13,Hyundai,i20
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5 kmpl,1197.0,82.85,5.0,0,4.65,10,Hyundai,i20
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83 kmpl,1198.0,67.0,7.0,6.45 Lakh,3.95,7,Datsun,GO
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967.0,241.4,5.0,0,9.8,14,Audi,A4
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197.0,80.0,5.0,0,2.7,15,Hyundai,i20
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0 kmpl,796.0,35.0,5.0,0,2.41,14,Maruti,Omni
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71 kmpl,1197.0,78.9,5.0,6.41 Lakh,3.9,10,Toyota,Etios
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993.0,270.9,5.0,0,24.0,13,Jaguar,XF
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179.0,140.0,7.0,0,5.75,12,Mahindra,XUV500
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582.0,126.32,5.0,0,5.25,10,Hyundai,Verna
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755.0,171.5,7.0,27 Lakh,19.25,7,Toyota,Innova
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1 kmpl,1196.0,73.0,5.0,5.13 Lakh,3.91,7,Maruti,Eeco
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4 kmpl,624.0,37.5,4.0,0,2.15,10,Tata,Nano
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995.0,190.0,5.0,54.43 Lakh,20.75,9,BMW,3
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5 kmpl,1799.0,130.0,5.0,0,3.35,14,Honda,Civic
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99 kmpl,2494.0,100.6,7.0,0,11.11,10,Toyota,Innova
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984.0,150.0,5.0,0,20.0,10,Volvo,V40
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198.0,75.94,5.0,9.51 Lakh,6.55,8,Nissan,Micra
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497.0,215.0,5.0,0,7.0,15,BMW,5
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3 kmpl,1248.0,88.5,5.0,9.96 Lakh,7.5,8,Maruti,Vitara
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0 kmpl,1086.0,0.0,5.0,0,0.85,19,Hyundai,Santro
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143.0,107.3,5.0,0,16.75,10,Mercedes-Benz,B
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0 kmpl,1582.0,126.2,5.0,14.44 Lakh,10.95,6,Hyundai,Verna
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9 kmpl,998.0,67.1,5.0,0,2.45,13,Maruti,Wagon
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9 kmpl,624.0,37.48,4.0,0,3.23,7,Tata,Nano
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05 kmpl,2179.0,120.0,8.0,0,7.75,10,Mahindra,Scorpio
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796.0,178.0,5.0,0,9.35,15,Mercedes-Benz,New
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6 km/kg,998.0,58.16,5.0,0,3.25,11,Maruti,Wagon
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354.0,152.0,5.0,0,5.25,17,Honda,CR-V
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498.0,103.2,5.0,0,7.25,9,Volkswagen,Vento
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73 kmpl,1373.0,91.1,5.0,0,7.47,7,Maruti,Ciaz
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179.0,140.0,7.0,0,13.25,8,Mahindra,XUV500
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1 kmpl,1197.0,85.8,5.0,0,5.81,8,Maruti,Ritz
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07 kmpl,998.0,67.1,5.0,4.53 Lakh,2.6,10,Maruti,Alto
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996.0,362.07,2.0,95.04 Lakh,54.0,7,Mercedes-Benz,SLC
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591.0,121.3,5.0,13.49 Lakh,11.5,5,Hyundai,Verna
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7 kmpl,796.0,46.3,5.0,0,1.6,14,Maruti,Alto
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995.0,143.0,5.0,0,17.22,9,BMW,1
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199.0,88.7,5.0,0,6.0,9,Honda,Jazz
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5 kmpl,1799.0,130.0,5.0,0,3.95,12,Honda,Civic
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143.0,170.0,5.0,0,17.95,10,Mercedes-Benz,New
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8 kmpl,1498.0,98.6,5.0,0,3.7,10,Honda,Amaze
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,1197.0,81.8,5.0,0,5.43,8,Maruti,Swift
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17.0 kmpl,1086.0,0.0,5.0,0,1.67,16,Hyundai,Santro
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5 kmpl,2982.0,171.0,7.0,0,13.49,12,Toyota,Fortuner
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6 kmpl,1199.0,76.8,5.0,0,2.85,10,Chevrolet,Beat
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14 kmpl,1498.0,103.52,5.0,0,4.75,11,Skoda,Rapid
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73 kmpl,1373.0,91.1,5.0,0,9.9,6,Maruti,Ciaz
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894.0,444.0,4.0,1.28 Cr,37.0,11,Audi,RS5
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995.0,190.0,5.0,60.88 Lakh,26.5,10,BMW,3
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968.0,174.33,5.0,0,23.32,9,Audi,A4
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9 kmpl,1248.0,74.0,5.0,0,6.25,8,Maruti,Swift
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461.0,362.9,5.0,0,30.0,14,Mercedes-Benz,S
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498.0,103.52,5.0,0,9.86,8,Skoda,Rapid
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2 kmpl,1968.0,138.1,5.0,0,8.5,12,Skoda,Superb
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1 kmpl,814.0,55.2,5.0,0,4.23,5,Hyundai,EON
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,0,3.5,12,Volkswagen,Polo
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63 kmpl,1198.0,67.06,5.0,0,2.5,8,Datsun,GO
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4 kmpl,1198.0,86.8,5.0,0,2.39,11,Honda,Brio
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595.0,120.7,5.0,0,11.25,11,Mercedes-Benz,B
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0 kmpl,1498.0,98.6,5.0,0,7.11,9,Honda,City
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99 kmpl,2494.0,100.6,7.0,0,10.9,8,Toyota,Innova
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4 kmpl,1197.0,81.8,5.0,0,6.2,7,Maruti,Swift
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.1 kmpl,2179.0,140.0,7.0,0,7.9,12,Mahindra,XUV500
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7 kmpl,1498.0,89.84,5.0,0,4.42,10,Ford,Ecosport
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0 kmpl,2982.0,168.5,7.0,0,13.5,12,Toyota,Fortuner
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498.0,108.5,5.0,0,6.25,11,Volkswagen,Vento
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399.0,68.0,5.0,0,2.1,14,Ford,Figo
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993.0,258.0,5.0,0,45.0,9,BMW,X5
